tester,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,sars-cov-2_detected,sample_collection_date,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
BioBot,Municipal,MWRA Southern,411138.92784285714,7,Detected,2021-03-21T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2021-03-21,arch
BioBot,Municipal,Plymouth Headworks Influent,330732.39029999997,4,Detected,2022-04-13T00:00:00Z,copies/L,Plymouth,MA,Plymouth,2024-07-24T00:00:00Z,2022-04-13,arch
BioBot,Municipal,MWRA Northern,545159.4273714285,7,Detected,2022-06-14T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2022-06-14,arch
BioBot,Municipal,MWRA Northern,402348.6459285714,7,Detected,2021-11-10T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2021-11-10,arch
BioBot,Municipal,Fall River WWTP,407760.0851042498,5,Detected,2023-09-14T00:00:00Z,copies/L,Fall River,MA,Bristol,2024-07-24T00:00:00Z,2023-09-14,arch
BioBot,Municipal,SESD-Peabody/Salem Pump,1013861.4660999998,4,Detected,2023-02-07T00:00:00Z,copies/L,Salem,MA,Essex,2024-07-24T00:00:00Z,2023-02-07,arch
BioBot,Municipal,MWRA Northern,727333.4215,7,Detected,2022-06-19T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2022-06-19,arch
BioBot,Municipal,MWRA Southern,66688.32188142858,7,Detected,2021-07-17T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2021-07-17,arch
BioBot,Municipal,S.Deerfield WWTP,3670747.2659970555,3,Detected,2024-02-07T00:00:00Z,copies/L,Deerfield,MA,Franklin,2024-07-24T00:00:00Z,2024-02-07,arch
BioBot,Municipal,MWRA Southern,633834.7879142857,7,Detected,2022-07-20T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2022-07-20,arch
BioBot,Municipal,Wareham WPCF,1350094.691375,4,Detected,2022-05-18T00:00:00Z,copies/L,Wareham,MA,Plymouth,2024-07-24T00:00:00Z,2022-05-18,arch
BioBot,Municipal,Montague Clean Water Facility,74923.62109,3,Detected,2023-05-24T00:00:00Z,copies/L,Montague,MA,Franklin,2024-07-24T00:00:00Z,2023-05-24,arch
BioBot,Municipal,MWRA Southern,2360405.756582391,7,Detected,2023-12-29T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2023-12-29,arch
BioBot,Municipal,MWRA Northern,29025.633495714283,7,Detected,2020-07-09T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2020-07-09,arch
