respiratory_season,tester,sars-cov-2_detected,sample_collection_date,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
2025-2026,BioBot,Detected,2025-09-17T00:00:00Z,Municipal,Uxbridge WWTF,700036.1299999999,3,copies/L,Uxbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-09-17,current
2025-2026,BioBot,Detected,2025-08-13T00:00:00Z,Municipal,MWRA Northern,263026.79,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-13,current
2025-2026,BioBot,Detected,2025-10-22T00:00:00Z,Municipal,Uxbridge WWTF,469473.74333333335,3,copies/L,Uxbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-10-22,current
2025-2026,BioBot,Detected,2025-10-22T00:00:00Z,Municipal,Uxbridge WWTF,220817.65666666665,3,copies/L,Uxbridge,MA,Worcester,2025-11-13T00:00:00Z,2025-10-22,current
2025-2026,BioBot,Detected,2025-10-29T00:00:00Z,Municipal,S.Deerfield WWTP,35868091.72,3,copies/L,Deerfield,MA,Franklin,2025-11-13T00:00:00Z,2025-10-29,current
2025-2026,BioBot,Detected,2025-07-31T00:00:00Z,Municipal,Whitman,252540.7575,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-07-31,current
2025-2026,BioBot,Detected,2025-09-21T00:00:00Z,Municipal,MWRA Northern,366807.83,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-09-21,current
2025-2026,BioBot,Detected,2025-07-17T00:00:00Z,Municipal,Hull WWTF,65811.21,3,copies/L,Hull,MA,Plymouth,2025-11-13T00:00:00Z,2025-07-17,current
2025-2026,BioBot,Detected,2025-09-04T00:00:00Z,Municipal,S.Deerfield WWTP,167679.87333333332,3,copies/L,Deerfield,MA,Franklin,2025-11-13T00:00:00Z,2025-09-04,current
2025-2026,BioBot,Detected,2025-08-21T00:00:00Z,Municipal,Springfield WWTP,1042841.165,2,copies/L,Agawam,MA,Hampden,2025-11-13T00:00:00Z,2025-08-21,current
